	tryps_0005min	tryps_0010min	tryps_0015min	tryps_0020min	tryps_0030min	tryps_0040min	tryps_0050min	tryps_0060min	tryps_0120min	tryps_0180min	tryps_0240min	tryps_1440min	tryps_leftover
Q9UKJ3	0.0	76.85536503567786	76.85536503567786	76.85536503567786	76.85536503567786	0.0	0.0	76.85536503567786	0.0	58.49028767401255	58.49028767401255	0.0	59.89546977341965
Q12849	55.34457612849525	47.32593462423401	41.01452246063818	47.32593462423401	48.291585784989	48.291585784989	39.30729311997275	39.30729311997275	39.30729311997275	39.30729311997275	15.45596824478378	18.39821601857196	20.07710816324338
Q5SY16	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	56.31720465104245	0.0
Q9H7E2	0.0	60.04438318444636	71.47278257410622	71.47278257410622	65.75858287927629	65.75858287927629	60.04438318444636	65.75858287927629	60.04438318444636	0.0	0.0	0.0	0.0
Q9BQ67	0.0	0.0	0.0	0.0	0.0	25.45497078750942	25.45497078750942	25.45497078750942	21.30842565265529	21.30842565265529	20.94530617537574	20.94530617537574	24.70518245205509
Q96SI9	0.0	0.0	0.0	0.0	34.16468787406507	0.0	34.16468787406507	34.16468787406507	34.15323750655858	34.15323750655858	34.15323750655858	36.37847766270292	36.37847766270292
O75676	0.0	26.01821634883445	0.0	26.01821634883445	26.01821634883445	26.01821634883445	26.01821634883445	25.44712787289214	25.44712787289214	25.44712787289214	24.87603939694984	0.0	0.0
Q9UNZ5	15.54354882700712	15.54354882700712	16.11141658020441	16.11141658020441	15.54354882700712	26.84032569975566	16.11141658020441	16.11141658020441	17.59163146975761	17.59163146975761	17.59163146975761	20.66375543388335	0.0
O75153	0.0	45.97710079289161	40.47424351717499	43.23108045018614	40.87347061479835	39.69075563351198	39.62578961519895	37.49915393948964	37.31199975379594	38.29534210535169	33.33949930149355	29.64112924627272	36.37351698827395
P55036	49.46495956032118	40.71933414433529	40.71933414433529	40.71933414433529	40.71933414433529	40.71933414433529	40.74420492708754	40.71933414433529	40.71933414433529	41.98110346862187	41.98110346862187	40.39110097941065	38.27575042984589
P17844	52.61868262608546	41.20756835906877	37.59233751939544	36.48643450399714	35.47731703268337	35.06257582165956	34.65970972368972	35.31369703713767	34.11491941962351	29.77574923111868	30.09737083715282	24.09241945249307	23.70253111608913
P34949	0.0	0.0	17.16640100076297	0.0	17.16640100076297	17.16640100076297	21.30043723492261	21.30043723492261	21.0425030993405	21.75015294774798	22.35785008228268	24.21954448525426	23.07436863533406
O00193	38.16658709167343	38.16658709167343	43.86433252991745	43.86433252991745	30.74220288729389	27.42705548041144	27.42705548041144	24.47457003253148	25.89088167789431	18.20693717776908	18.20693717776908	17.74975546797222	17.74975546797222
Q99575	64.4720142636767	62.86332123956697	62.86332123956697	62.86332123956697	62.4036946612499	61.72133508683039	62.4036946612499	61.72133508683039	62.39716050131676	59.59484005960626	61.41765913283606	56.2292188595174	56.2292188595174
Q9BQE9	0.0	15.91310114678623	15.91310114678623	15.91310114678623	15.91310114678623	15.91310114678623	15.91310114678623	15.91310114678623	15.91310114678623	0.0	0.0	0.0	0.0
O00443	51.73190302054883	51.73190302054883	56.58575287037925	65.40530418274444	83.04440680747486	65.40530418274444	58.01421207248927	56.30151674862907	29.55862668978329	56.30151674862907	56.30151674862907	0.0	38.10014649117841
Q5VTB9	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	48.63040673924216	0.0	0.0
P33992	15.46202997075118	31.15358064490036	25.78960272513692	25.11815623856167	25.02438524403414	26.40561605767083	26.20216410633043	26.37173635358045	26.84086916512951	25.12694984714359	25.00671645152142	25.67966035316695	27.41643944868119
P04350	19.9001462144364	21.10846733456314	21.22175394712609	20.91340901205461	21.65437710081802	21.63254794236619	21.68357461124262	21.68445713950084	21.37166552588872	21.72413761047308	21.54705076616818	20.87807565845867	21.36848866812651
Q92538	0.0	99.19464677978375	75.64032262274513	63.76165216181632	57.67623106652925	60.34558498720182	63.04817710737855	60.07173497187549	60.0288103165603	62.43023345014971	64.46456785610829	58.84627787250097	58.51206718172831
O43491	0.0	0.0	40.6097601437248	40.6097601437248	40.6097601437248	41.03757321051827	41.03757321051827	45.12284312349842	46.56433961729157	46.56433961729157	52.58230454645341	60.58706232815601	54.37094188787505
P16401	14.99525574671471	14.99525574671471	14.99525574671471	14.99525574671471	14.99525574671471	14.99525574671471	14.99525574671471	14.99525574671471	14.10211816724059	14.05199577594274	13.12666699463968	0.0	0.0
Q9Y3T9	0.0	40.65844852236193	41.37286739269046	40.65844852236193	38.14251035831029	44.48331527731906	40.21082306694905	40.32069480200074	39.26707690339051	39.45804544200743	44.31840255565768	39.21030289635663	0.0
O94776	0.0	34.44091729064557	39.79045874802426	36.38190607128806	40.89587560078571	47.20995639154454	41.81934281189245	39.95683018047505	42.25837809623739	40.80113953253577	43.94139973706721	39.51474387694759	38.20927408929754
Q15185	0.0	10.85799630517898	13.68904398633922	13.27703573424911	13.27703573424911	13.27703573424911	13.27703573424911	13.27703573424911	13.27703573424911	17.9606149438492	17.9606149438492	16.10432301044185	16.10432301044185
Q8WXD5	0.0	0.0	0.0	0.0	0.0	27.41406770130151	27.41406770130151	28.76276903320043	30.11147036509936	28.76276903320043	24.82335459756851	30.11147036509936	30.11147036509936
Q9BZV1	0.0	49.31870558793787	49.31870558793787	49.31870558793787	49.31870558793787	49.31870558793787	49.31870558793787	49.31870558793787	49.31870558793787	0.0	0.0	0.0	0.0
P52789	0.0	0.0	18.17350853105731	19.35952197916524	19.35952197916524	19.35952197916524	24.64919525272516	24.64919525272516	24.64919525272516	34.56944122556998	32.95704191896991	41.50940128333073	40.59304030103161
Q99755	0.0	0.0	22.89897886013782	0.0	22.89897886013782	20.89054020498292	20.89054020498292	20.89054020498292	0.0	24.46678598820574	26.03459311627365	28.28791017527365	28.28791017527365
P24941	0.0	13.73032199666219	13.73032199666219	13.73032199666219	16.39772698278537	19.4631877157809	17.88369922162433	19.4631877157809	21.60385531143506	21.60385531143506	21.60385531143506	19.95664698713545	20.08609492339228
